question,answer,document
"Какие преимущества имеют средства индивидуализации, исключительное право на которые возникло ранее?"," При первоначальном сходстве или тождестве двух или более средств индивидуализации (например, фирменных наименований, товаровных знаков, промышленных образцов и т.д.), преимущество имеет средство, исключительное право на которое возникло раньше. Этот принцип имеет ограничения в случае установления конвенционного или выставочного приоритета.

В частности, если несколько средств индивидуализации (фирменное наименование, товарный знак, знак обслуживания, коммерческое обозначение) оказываются тождественными или сходными до степени смешения и в результате такого тождества или сходства могут быть введены в заблуждение потребители и (или) контрагенты, преимущество имеет средство индивидуализации, исключительное право на которое возникло раньше.

Если же устанавливается конвенционный или выставочный приоритет, то преимущество имеет средство индивидуализации, установленному более ранним приоритетом.",['Гражданский кодекс Российской Федерации']
В каких случаях государственная пошлина не уплачивается при пересылке свидетельств и документов в соответствии с международными договорами?," В соответствии с контекстом предоставленного текста, государственная пошлина не уплачивается при пересылке следующих документов в соответствии с международными договорами Российской Федерации:
- свидетельства о государственной регистрации актов гражданского состояния;
- другие документы, подтверждающие факты государственной регистрации актов гражданского состояния.","['Кодекс торгового мореплавания Российской Федерации', 'Налоговый кодекс Российской Федерации']"
Как вносятся сведения о характеристиках древесины в государственный лесной реестр?," Сведения о характеристиках древесины вносятся в государственный лесной реестр соответственно отчетами, указанными в каждой статье, например:

1. Отчет об использовании лесов (лицами, использующими леса или осуществляющими мероприятия по их сохранению) - для древесины, полученной при использовании лесов и при осуществлении мероприятий по их сохранению.
2. Отчет о ввезенной на склад и вывезенной со склада древесины - для древесины, размещенной в местах (пунктах) складирования древесины;
3. Отчет о древесине и продукции из нее - лицами, владеющими на праве собственности или иным законном основанием местами (пунктами) складирования древесины, объектами лесоперерабатывающей инфраструктуры;
4. Отчет о балансе древесины - лицам, которым на законных основаниях принадлежат склады древесины.",['Лесной кодекс Российской Федерации']
Что включает техническая приемка перед монтажом конструкций фонарей согласно ГОСТ МДС 31-8.2002?," Техническая приемка перед монтажом конструкций фонарей по ГОСТу МДС 31-8.2002 включает:

1. Проверку исполнения выполненных работ по проектной документации, техническим условиям и требованиям строительного законодательства;
2. Проверку привезённых изготовленных деталей и материалов для конструкций фонарей;
3. Проверку качества эксплуатирующихся оборудования и систем, предназначенных для обеспечения работы конструкций фонарей;
4. Проверку комплектации и правильности монтажа оборудования и деталей на транспортных средствах.","['Data1_10_10846_index', 'Data1_1_1879_index']"
Какие документы регулируют оптовые цены на оборудование?," В данном контексте, для формирования оптовых цен на импортные товары, в том числе оборудование, используются нормативные документы из приложения 7, перечисленные в указанном тексте. Однако, необходимо обратить внимание, что это лишь один из источников регулирования цен на импортные товары. Другие нормативные документы, которые могут быть использованы для этого также могут существовать и их необходимо исследовать в конкретном случае.","['Data1_10_10865_index', 'Уголовно-процессуальный кодекс Российской Федерации', 'Data1_2_2082_index', 'Data1_11_11372_index']"
Какие виды грантов не подлежат налогообложению?," Согласно статьям 251 и 251-1 Уголовного кодекса Российской Федерации, следующие виды грантов не подлежат налогообложению:

1. Гранты из федерального бюджета, выделенные для реализации целей и задач, установленных в Федеральном законе ""О государственной поддержке гражданского общества"", а также гранты, выделенные в соответствии с Указом Президента Российской Федерации от 21 декабря 2017 года № 654 ""О мерах по реализации государственной политики по социальной поддержке гражданского общества"".

2. Гранты из бюджетов субъектов Российской Федерации, выделенные некоммерческим организациям в целях реализации целей и задач, установленных в законе субъекта Российской Федерации ""О гражданском обществе"".

3. Гранты, выделенные для финансирования деятельности некоммерческих организаций, осуществляющих работу в области культуры и образования по программам культурного обмена и сотрудничества государств - участников СНГ.

4. Гранты, выделенные для реализации целей и задач, установленных в Федеральном законе ""О подготовке и проведении в Российской Федерации чемпионата мира по футболу ФИФА 2018 года"".

5. Гранты, выделенные для реализации целей и задач, установленных в Федеральном законе ""О способствовании организации и проведению в Российской Федерации международного года физической культуры и спорта 2013 года"".

6. Гранты, выделенные для реализации целей и задач, установленных в Федеральном законе ""О подготовке и проведении в Российской Федерации XXXI Олимпийских зимних игр 2014 года"".

7. Гранты, выделенные для реализации целей и задач, установленных в Федеральном законе ""О проведении в Сочи XXII Олимпийских зимних играх 2014 года и Паралимпийских зимних играх 2014 года"".

8. Гранты, выделенные для реализации целей и задач, установленных в Федеральном законе ""О проведении в Нижнем Новгороде XXVII Всемирной летней Универсиады 2013 года"".

9. Гранты, выделенные для реализации целей и задач, установленных в Федеральном законе ""О проведении международного спортивного соревнования ""Кубок конфедераций ФИФА"" 2017 года"".

10. Гранты, выделенные для реализации целей и задач, установленных в Федеральном законе ""О проведении в Российской Федерации матчей сборной команды России по футболу с командой сборной Англии 2016 года"".

11. Гранты, выделенные для реализации целей и задач, установленных в Федеральном законе ""О проведении в Москве матчей сборной команды России по футболу с командой сборной Испании 2018 года"".

Все вышеперечисленные гранты не подлежат налогообложению в соответствии с пунктом 4 статьи 379 Налогового кодекса Российской Федерации.","['Арбитражный процессуальный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Уголовный кодекс Российской Федерации']"
Является ли ассоциация (союз) собственником своего имущества?," Да, ассоциация (союз) является собственником своего имущества. Это указано в Статья 123.8 статьи 65 Кодекса Российской Федерации об административно-территориальном устройстве РФ.","['Кодекс торгового мореплавания Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Что такое постоянное местонахождение иностранной организации?," Постоянное местонахождение иностранной организации для целей применения норм налогового законодательства России определяется как место, где регулярно осуществляется деятельность этой организации. Это может быть её филиал, представительство, отделение и другие обособленные подразделения или места деятельности в Российской Федерации (см. статья 306 Налогового кодекса РФ).","['Гражданский кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Таможенный кодекс Евразийского экономического союза']"
"Что влечет наложение административного штрафа на должностных лиц за нарушение правил эксплуатации, неиспользование сооружений, оборудования или аппаратуры для очистки газов и контроля выбросов вредных веществ в атмосферный воздух?"," Нарушение правил эксплуатации, неиспользование сооружений, оборудования или аппаратуры для очистки газов и контроля выбросов вредных веществ в атмосферный воздух, которые могут привести к его загрязнению либо использование неисправных указанных сооружений, оборудования или аппаратуры, влечет наложение административного штрафа на должностных лиц в размере от одной тысячи до двух тысяч рублей.",['Административный кодекс Российской Федерации']
Какое наименование должно быть присвоено выпуску проектной документации?," По данным предоставленного контекста, ответ необходимо давать в соответствии с установленными требованиями для наименования селекционного достижения. Для того, чтобы присвоить имя выпуску проектной документации, нужно выполнить следующие шаги:

1. Название должно позволить идентифицировать селекционное достижение.
2. Оно должно быть кратким и отличаться от наименований существующих селекционных достижений того же или близкого ботанического либо зоологического вида.
3. Название не должно состоять из одних цифр, вводить в заблуждение относительно свойств, происхождения, значения селекционного достижения, личности его автора, не должно противоречить принципам гуманности и морали.
4. Название селекционного достижения, предложенное автором или с его согласия иным лицом (заявителем), должно быть одобрено федеральным органом исполнительной власти по селекционным достижениям.

Если предложенное название не отвечает требованиям, установленным пунктом 2 настоящей статьи, заявитель по требованию указанного федерального органа обязан в тридцатидневный срок предложить иное название.
Если до истечения указанного срока заявитель не предложит другого наименования, соответствующего указанным требованиям, или не оспорит отказ в одобрении наименования селекционного достижения в судебном порядке, федеральный орган исполнительной власти по селекционным достижениям вправе отказаться в регистрации селекционного достижения.

Однако данные требования не применяются к проектной документации, но могут быть использованы как базовые при разработке собственных правил для наименования выпуска проектной документации.","['Гражданский процессуальный кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации', 'Data1_10_10859_index']"
Препятствует ли прекращение производства обращению других лиц?," Прекращение производства по административному делу в соответствии с указанными нормами не препятствует обращению других лиц. По данному вопросу следует обратить внимание на статью 214:
""Прекращение производства по административному делу об оспаривании нормативного правового акта по основаниям, указанным в пунктах 3, 5, 6 части 1 статьи 194 настоящего Кодекса и пункте 2 части 2 настоящей статьи, не препятствует обращению в суд иных лиц, полагающих, что оспариваемым нормативным правовым актом затрагиваются или нарушаются их права, свободы и законные интересы.""
Таким образом, прекращение производства не является препятствием для подачи административного иска другими лицами в случае, если они полагают, что нормативный правовой акт нарушает их права, свободы или законные интересы.","['Кодекс административного судопроизводства Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
"В каких случаях судебные расходы, понесенные судом, взыскиваются с административного ответчика?"," Судебные расходы, понесенные судом, взыскиваются с административного ответчика в следующих случаях:

1. Когда суд рассматривает административное дело и административный истec освобождается от уплаты судебных расходов (Статья 114, пункт 1).
2. В случае отказа в иске, когда административный истец не освобождается от уплаты судебных расходов (Статья 114, пункт 2).
3. Когда суд рассматривает дело по поводу удовлетворения части административного искового требования (Статья 114, не определен случай с отказом в иске).
4. В случае рассмотрения дела, когда обе стороны освобождаются от уплаты судебных расходов, но возмещаются за счет бюджетных ассигнований федерального бюджета (Статья 114, пункт 3).
5. При рассмотрении дела по гражданному процессу в соответствии с Статьей 103, когда истец освобождается от уплаты судебных расходов (Статья 103, пункт 1).
6. В случае отказа в гражданском деле, когда истец не освобождается от уплаты судебных расходов (Статья 103, пункт 2).
7. Когда частично удовлетворяется требование одной из сторон и одна из сторон освобождается от уплаты судебных расходов (Статья 103, пункт 3).
8. В случае, когда обе стороны освобождаются от уплаты судебных расходов (Статья 103, пункт 4).","['Кодекс административного судопроизводства Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Арбитражный процессуальный кодекс Российской Федерации']"
Какова цель документа МДС 41-3.2000?," Документ МДС 41-3.2000, называемый ""Общие методические рекомендации по подготовке и проведению комплексных научно-исследовательских работ"", целью которого является предоставление рекомендаций для планирования, организации, выполнения, анализа и результатов комплексных научно-исследовательских работ в области архитектуры, градостроительства, инженерии и других смежных дисциплин. Это полезно для специалистов различных проектных организаций и научных учреждений, занимающихся исследованиями в сфере градостроительства и архитектуры.","['Data1_1_1904_index', 'Data1_10_10862_index', 'Data1_10_10858_index', 'Data1_10_10866_index', 'Data1_10_10754_index']"
"Как определяется рыночная стоимость земельного участка, если разрешенное использование изменено для строительства объектов федерального значения?"," Если разрешенное использование земельного участка изменено для строительства объектов федерального значения, то рыночная стоимость такого земельного участка определяется исходя из разрешенного использования, установленного до изменения.","['Земельный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Какие дополнительные выплаты стимулирующего характера учитываются в расчетах согласно ГОСТ МДС 81-7.2000?," По данным предоставленного контекста, для расчета дополнительных выплат стимулирующего характера учитываются 4 должностных оклада в год.","['Data1_11_11295_index', 'Трудовой кодекс Российской Федерации', 'Data1_2_2116_index']"
Какая средняя температура за июль в Печоре согласно ГОСТ МДС 31-8.2002?," По данным ГОСТа МДС 31-8.2002 ""Климатические характеристики местности"" для города Печора средняя температура за июль составляет +17,6 °C.","['Data1_10_10846_index', 'Data1_10_10865_index', 'Data1_10_10852_index', 'Data1_11_11295_index']"
Какая специальная информационная дорожка должна предусматриваться в зале для специальной физической подготовки инвалидов согласно ГОСТ МДС 35-7.2000?," Согласно контексту, настоящий ГОСТ (Государственный стандарт) МДС 35-7.2000 не указан. Однако предоставленный контекст содержит сведения о требованиях к информационной дорожке в зале для специальной физической подготовки инвалидов, которые могут быть адаптированы к данному стандарту.

Для обеспечения ориентации и безопасности инвалидов, страдающих полной или частичной потерей зрения, следует:

- использовать в качестве ориентиров для направления движения звуковые маяки;
- устраивать по периметру игровых площадок полосу ориентации шириной не менее 1,5 м с прилегающей к ней полосой безопасности шириной не менее 2,5 м;
- устраивать полосу ориентации шириной не менее 2 м вдоль дорожек для бега или разбега перед прыжком;
- предусматривать на беговой дорожке зону старта длиной по направлению движения не менее 5 м и зону финиша - длиной не менее 25 м;
- устраивать полосу ориентации шириной не менее 1,2 м по периметру ванн бассейнов.

Также должны выделяться фактурной поверхностью покрытия с ярким контрастным цветом полосы ориентации, а также повороты беговых дорожек, зоны стартов и финишей, толковые зоны при прыжках.

В связи с отсутствием указания на стандарт МДС 35-7.2000 невозможно однозначно сформулировать требования к специальной информационной дорожке в соответствии с данным стандартом, однако предоставленные требования могут быть адаптированы для конкретного стандарта.","['Кодекс внутреннего водного транспорта Российской Федерации', 'Кодекс торгового мореплавания Российской Федерации', 'Data1_10_10847_index']"
"Какова важность правильного реагирования на запросы заказчиков, согласно ГОСТ МДС 11-11.2000?"," По мнению ГОСТа МДС 11-11.2000, правильное реагирование на запросы заказчиков имеет значительную важность. Это касается вопросов организации работы управляющего проектом в разных этапах проекта, а также обеспечения соответствующих резервов ресурсов для обработки запросов. Один из наиболее опасных ответов, который может привести к спугиванию заказчика — это «Вы обратились не по адресу». Кроме того, неудачный ответ со стороны секретаря или младшего персонала института может разочаровать хорошо информированного заказчика.","['Data1_10_10858_index', 'Data1_11_11295_index', 'Гражданский кодекс Российской Федерации', 'Административный кодекс Российской Федерации']"
"Какова ответственность за нарушение правил использования на территории Российской Федерации спутниковых сетей связи, находящихся под юрисдикцией иностранных государств, для должностных лиц?"," Ответственность за нарушение правил использования на территории Российской Федерации спутниковых сетей связи, находящихся под юрисдикцией иностранных государств, для должностных лиц предусмотрена в части 1.3 статьи 13.47 Кодекса о административных правонарушениях Российской Федерации. В случае нарушения лицами, участвующими в централизованном управлении сетью связи общего пользования, установленных правил маршрутизации сообщений электросвязи это влечет наложение административного штрафа на должностных лиц в размере от десяти тысяч до тридцати тысяч рублей.",['Административный кодекс Российской Федерации']
"Какие статьи КоАП рассматривают судьи, если дело возбуждено инспектором Счетной палаты Российской Федерации, согласно пункту 1.1 статьи 23.1?"," Судьи рассматривают дела об административных правонарушениях, предусмотренных частями 1, 3, 4 и 6 статьи 5.27, частями 1 - 4 статьи 5.27.1, частью 3 статьи 5.35, статьей 5.53, частью 1 статьи 6.3, статьями 6.4 - 6.6, частью 2 статьи 6.7, частью 1 статьи 6.31, статьями 6.35, 7.6, 7.23.3, 7.32.2, 7.32.6, частями 1 - 3, 3.1 - 3.4 (за исключением случаев фиксации административного правонарушения работающими в автоматическом режиме специальными техническими средствами, имеющими функции фото- и киносъемки, видеозаписи) и 4 - 6 статьи 8.2, статьями 8.2.1, 8.2.2, 8.2.3, 8.3, частью 2 статьи 8.6, частью 4 статьи 8.7, частью 2 статьи 8.12, статьей 8.12.1, частью 2 статьи 8.13, частью 1 статьи 8.14, статьями 8.17 - 8.20, частями 1 и 3 статьи 8.21, частями 2 и 3 статьи 8.26, частями 2 и 3 статьи 8.31, статьями 8.34, 8.35, частями 1, 1.1, 2 и 3 статьи 8.37, статьями 8.38, 8.39, частями 3 и 4 статьи 8.42, частью 2 статьи 8.45, статьей 8.45.1, частями 2 и 4 статьи 8.50, частью 3 статьи 8.51, статьями 9.1, 9.2, 9.3, частями 2 и 3 статьи 9.4, статьей 9.5, частью 3 статьи 9.5.1, статьями 9.6, 9.9, 9.11, 9.13, частями 1 и 2 статьи 9.16, статьями 9.17, 9.18, частью 2 статьи 9.21, статьей 9.22, частью 5 статьи 9.24, статьями 10.3, 10.6, частью 2 статьи 10.7, частью 3 статьи 10.8, статьями 11.1, 11.4, частями 1-3 и 5 статьи 11.5, частями 1 - 4 статьи 11.7, статьей 11.9, частью 6 статьи 11.17, статьями 11.20, 11.20.1, частью 1.1 статьи 12.1, частью 2 статьи 12.2, частями 4 и 5 статьи 12.9, частью 1 статьи 12.10, частью 3 статьи 12.12, частью 4 статьи 12.15, частью 3 статьи 12.16, частью 2 статьи 12.17, частями 3, 5 и 6 статьи 12.21.1 (за исключением случаев фиксации административного правонарушения работающими в автоматическом режиме специальными техническими средствами, имеющими функции фото- и киносъемки, видеозаписи, или средствами фото- и киносъемки, видеозаписи), частью 1 статьи 12.21.2, частью 5 статьи 12.23, статьями 13.2, 13.3, 13.4, 13.6 - 13.8, частями 2 и 4 статьи 13.12, статьей 13.13, частью 2 статьи 13.19.3 (в части административных правонарушений, совершенных должностными лицами застройщика), статьями 13.22, 13.29, 13.30, 14.1.3, 14.2, частью 2 статьи 14.4, частями 1 и 2 статьи 14.6, частью 2 статьи 14.7, частью 2 статьи 14.9.1, частями 2.1 - 3 статьи 14.16, статьями 14.17.3, 14.19, частью 1 статьи 14.20, частями 3 - 5 статьи 14.24, статьями 14.26, 14.29, 14.31, частью 1 статьи 14.31.2, статьями 14.32, 14.33, частью 6 статьи 14.40, частями 1 и 2 статьи 14.43, частями 1 и 2 статьи 14.43.1, статьями 14.44 - 14.46, частью 4 статьи 14.46.2, статьей 14.49, частью 1 статьи 14.54, статьями 14.57, 14.61, 15.14, частями 1 и 2 статьи 15.15.2, статьей 15.15.3, частью 1 статьи 15.15.4, частями 1 и 2 статьи 15.15.5, статьями 15.15.12, 15.15.13, частями 1 - 2.1 статьи 15.19, статьей 15.21, частями 1 - 2.1 статьи 15.22, частями 1-10 статьи 15.23.1, статьей 15.24.1, частями 2, 2.1, 2.2 и 3 статьи 15.27, частями 1 - 7, 9, 10, 10.2 и 11 статьи 15.29, статьей 15.30, частями 1 и 4 статьи 15.35, статьем 15.37, частями 1 и 3 статьи 16.1, статьями 16.2, 16.3, 16.4, 16.7, частью 1 статьи 16.9, статьей 16.16, частью 1 статьи 16.18, частями 1 - 3 статьи 16.19, частью 1 статьи 16.20, статьей 16.21, частью 2 статьи 16.24, частями 2 и 3 статьи 18.1, частью 1.1 статьи 18.2, частью 2 статьи 18.3, частью 2 статьи 18.4, статьей 18.7, частями 1, 2 и 3 статьи 18.8, частью 1 статьи 18.10, частями 1 - 4 статьи 18.15, статьями 18.16 - 18.17, частью 2 статьи 19.3, частями 2 - 2.3, 2.6, 2.7, 3, 5, 6, 8.1, 11, 17, 20, 23, 35, 39 статьи 19.5, статьей 19.7.3, частью 2 статьи 19.7.10, статьей 19.7.11, частью 1 статьи 19.24, частями 1 и 3 статьи 19.27, частями 1 и 2 статьи 20.1, частями 2.1, 6, 6.1 и 9 статьи 20.4, частями 3, 4, 4.1, 5 и 6 статьи 20.8, частями 1 и 3 статьи 20.12, статьями 20.14, 20.17, частью 2 статьи 20.20, статьей 20.21 настоящего Кодекса, если дело о таком административном правонарушении возбуждено инспектором Счетной палаты Российской Федерации.","['Уголовно-процессуальный кодекс Российской Федерации', 'Административный кодекс Российской Федерации']"
Кто должен подписывать диагностическую карту крана согласно ТИПОВЫМ НОРМАМ?," Согласно типовым нормам, диагностическая карта крана должна подписываться инженерно-техническим работником, выполнившим диагностические работы.","['Гражданский кодекс Российской Федерации', 'Data1_10_10855_index']"
Какие полномочия имеют законные представители?," Законные представители обладают полномочиями представителей в силу закона и совершают от имени представляемых ими лиц все процессуальные действия, право совершения которых принадлежит представляемым, с ограничениями, предусмотренными законом. Они могут поручить ведение дела в суде другому лицу, избранному ими в качестве представителя, отвечающему требованиям, установленным статьей 49 настоящего Кодекса.","['Гражданский процессуальный кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Административный кодекс Российской Федерации']"
Когда считается дата подачи заявки на товарный знак?," Датой подачи заявки на товарный знак считается день поступления в федеральный орган исполнительной власти по интеллектуальной собственности документов, предусмотренных подпунктами 1-3 пункта 3 статьи 1492 настоящего Кодекса (в случае если указанные документы не представлены одновременно - день поступления последнего документа).",['Гражданский кодекс Российской Федерации']
Какое заключение должен дать эксперт?," Эксперт в соответствии с текстом предоставленного контекста должен давать письменное заключение, которое должно включать подробное описание проведенного исследования, сделанные в результате его выводы и ответы на поставленные судом вопросы. В случае если эксперт установит имеющие значение для рассмотрения и разрешения дела обстоятельства, по поводу которых ему не были поставлены вопросы, он вправе включить выводы об этих обстоятельствах в свое заключение.","['Гражданский процессуальный кодекс Российской Федерации', 'Кодекс административного судопроизводства Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
Какой СНиП документа указан в методических рекомендациях по разработке сборников ресурсных сметных норм на монтаж оборудования?, СНиП 4.06-91 указан в методических рекомендациях по разработке сборников ресурсных сметных норм на монтаж оборудования.,"['Data1_2_2076_index', 'Data1_2_2073_index']"
Какие требования к увеличению пропускной способности существующей сети и производительности подогревательной и насосной установок должны быть указаны в технических условиях согласно СНиП?," В технических условиях, выдаваемых теплоснабжающей организацией, должен быть указан требование об увеличении пропускной способности существующей сети и производительности подогревательной и насосной установок, если такое увеличение необходимо для обеспечения тепловой энергией нового объекта.","['Градостроительный кодекс Российской Федерации', 'Data1_10_10864_index', 'Data1_1_1904_index', 'Data1_10_10865_index', 'Data1_10_10871_index']"
Какие требования предъявляются к технической документации на узел учета?," Техническая документация на узел учета должна включать следующие разделы:
- пояснительная записка с обоснованием выбора схемы учета и средств измерений;
- монтажная схема узла учета;
- принципиальная схема теплого пункта с указанием мест размещения средств измерений.

Потребитель должен представить техническую документацию потребителю теплоснабжающей организации до начала комплектации и строительно-монтажных работ. Теплоснабжающая организация рассматривает техническую документацию в срок не более 15 дней и может предъявить обоснованные замечания или отсутствие их.

Технологические требования и решения должны быть уточнены для конкретного объекта предмета торгов.","['Data1_10_10870_index', 'Data1_10_10865_index']"
