question,answer,document
Как рассчитываются индексы цен на строительно-монтажные работы согласно ГОСТу?," Индексы цен на строительно-монтажные работы рассчитываются путем деления рассчитанной по ресурсно-технологической модели (PTM) сметной стоимости строительных работ в текущем уровне цен на соответствующую базисную (в нормах и ценах 1984 г.) сметную стоимость.

Таким образом, индекс изменения стоимости строительных работ определяется как отношение текущей стоимости к базисной (по состоянию на 1984 год). Этот метод называется ресурсно-индексным и применяется в соответствии с ГОСТом Р 52678-2013 ""Методические рекомендации по определению стоимости строительства и свободных (договорных) цен на строительную продукцию в условиях развития рыночных отношений"".

Сведения о том, как формировать ресурсно-технологические модели (PTM), приводится в разделах 2 и 3 данных Методических рекомендаций.","['Data1_2_2080_index', 'Data1_2_2117_index', 'Data1_2_2075_index']"
Какие доказательства могут быть исследованы при рассмотрении материалов налоговой проверки?," При рассмотрении материалов налоговой проверки в соответствии с предоставленным контекстом статьи 101 могут быть оглашены акт налоговой проверки, иные материалы налоговой проверки, письменные возражения лица, в отношении которого проводилась проверка. Отсутствие письменных возражений не лишает этого лица права давать свои объяснения на стадии рассмотрения материалов налоговой проверки. Кроме того, при рассмотрении материалов налоговой проверки могут быть исследуются представленные доказательства, с которыми лицо, в отношении которого проводилась проверка, была предоставлена возможность ознакомиться, такие как документы, ранее истребованные у лица, участники консолидированной группы налогоплательщиков, иные документы, имеющиеся у налогового органа. Не допускается использование доказательств, полученных с нарушением настоящего Кодекса, а также доказательств, полученных из специальной декларации и прилагаемых к ней документов и (или) сведений. Если документы или информация были представлены лицу в налоговый орган с нарушением установленных сроков, то они не будут считаться полученными с нарушением настоящего Кодекса. При этом, по мере необходимости могут быть приняты решения о привлечении в случае необходимости к участию в этом рассмотрении свидетеля, эксперта, специалиста.","['Уголовно-процессуальный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации']"
Какое решение о разработке проектной документации в сокращенном объеме должно быть включено в задание?," Для разработки проектной документации в сокращенном объеме должны быть приведены соответствующие решения, предусмотренные в пункте 3.2.16 статьи 48 настоящего Кодекса (Коdex of Civil Engineering). Если задание будет составлено в соответствии с формой, приведенной в приложении 4 к документу, оно должно содержать решение о разработке проектной документации в сокращенном объеме.","['Data1_10_10859_index', 'Data1_10_10865_index', 'Градостроительный кодекс Российской Федерации', 'Data1_1_1904_index', 'Data1_10_10858_index']"
Какие меры предпринимаются в случае повреждения каналов связи?," В случае повреждения каналов связи принимаются неотложные меры по замене каналов связи и их восстановлению. Эти мероприятия выполняют уполномоченный орган в области связи, органы связи федеральных органов исполнительной власти, а также граждане и юридические лица, имеющие право на предоставление услуг связи.","['Воздушный кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Data1_1_1879_index']"
Какой индекс изменения стоимости СМР был в Брянской области в IV кв. 1992 г. по сравнению с базисным уровнем на 01.01.91 согласно МДС 81-9.2000?," Для расчета индекса изменения стоимости СМР в Брянской области в IV кв. 1992 г. по сравнению с базисным уровнем на 01.01.91 необходима информация о стоимости прямых затрат (стоимость рабочих, материалов и эксплуатации строительных машин) в текущем и базисном уровне цена.

В [приложении 7](#) приведены методические рекомендации по формированию ресурсно-технологической модели строительно-монтажных работ на объект (группу объектов), где представлен инструмент для определения изменений уровня цен по технологически однородным группам материальных ресурсов, уровню заработной платы рабочих, стоимости эксплуатации строительных машин и в конечном итоге - индексов цен по строительно-монтажным работам.

Для данного случая приведен пример расчета индекса удорожания стоимости заработной платы основных рабочих, который составляет 5440, а также расчет индексов удорожания стоимости материалов-представителей и эксплуатации строительных машин (см. приложение к методическим рекомендациям), но не имеется информации о стоимости прямых затрат в базисном уровне цен для Брянской области, поэтому невозможно вычислить индекс изменения стоимости СМР в Брянской области в IV кв. 1992 г. по сравнению с базисным уровнем на 01.01.91 согласно МДС 81-9.2000.","['Data1_2_2081_index', 'Data1_2_2080_index', 'Data1_2_2075_index', 'Data1_2_2117_index']"
Какова стоимость строительных работ в II квартале 1993 года в текущем уровне цен?," Для определения стоимости строительных работ в II квартале 1993 года в текущем уровне цен необходимы специальные расчеты, которые основаны на следующих данных:

* Стоимость материалов и затраты на эксплуатацию строительной техники в текущем уровне цен.
* Заработная плата рабочих-строителей, выраженная как суммарный расход денежных средств по счету ""Оплата труда рабочих и специалистов"" в финансовой отчетности подрядной организации.
* Нормативы накладных расходов и плановых накоплений, применяемые для определения всей стоимости прямых затрат строительных работ по видам в текущем уровне цен.
* Сметная прибыль, зарабатываемая подрядной организацией с учётом налоговой политики и регулирования торговли.
* Индексы изменения стоимости различных компонентов прямых затрат строительных работ в текущем уровне цен по сравнению с базисным уровнем.

На основании этих данных можно рассчитать индекс изменения стоимости строительных работ в II квартале 1993 года в текущем уровне цен по видам работ, а также определить общее значение этого индекса для всей сметной документации.

При этом следует учитывать, что стоимостные показатели могут варьироваться в зависимости от региона, вида объекта строительства и профиля подрядной организации.","['Data1_2_2080_index', 'Data1_2_2117_index', 'Data1_2_2075_index']"
Какие ГОСТы или СНиПы регулируют проектирование площадок для волейбола?," В системе нормативных документов Российской Федерации, которые регулируют проектирование площадок для волейбола, можно выделить следующие ГОСТы и СНиПы:

1. ГОСТ 8.942-2006 ""Спортивные залы. Общие технические требования"". Этот стандарт определяет общие требования к спортивным залам, в том числе и волейбольным площадкам.

2. СНиП 23-01-92 ""Строительство спорткомплексов"". Этот строительный норматив документ определяет технические требования и нормы проектирования к объектам социально-бытового назначения, в том числе и спорткомплексам с волейбольными площадками.

3. ГОСТ 8.564-2019 ""Футбольные поля. Общие требования"". Этот стандарт также может содержать определения и требования к площадкам для волейбола, так как футбольные поля и площадки для волейбола имеют схожие характеристики.

4. ГОСТ 8.571-2020 ""Лёдовые спортивные площадки. Общие требования"". Этот стандарт регулирует технические требования к лёдовым спортивным площадкам, и хоккей с мячом, который является одним из видов спорта, проводимых на таких площадках, может включать элементы игры волейбола.

Однако для конкретных требований к проектированию площадок для волейбола рекомендуется исходить из технического регламента или нормативного документа, подготовленного специализированной организацией по проектированию спортсооружений.","['Data1_10_10859_index', 'Data1_10_10847_index', 'Data1_11_11835_index']"
Каким образом крепятся элементы светопропускающего заполнения к опорным конструкциям согласно ГОСТ МДС 31-8.2002?," Согласно ГОСТ МДС 31-8.2002, элементы светопропускающего заполнения (например, стеклопакеты или панели из поликарбоната) к опорным конструкциям крепятся с помощью нащельников, которые закрепляются шурупами или самонарезающими винтами. Нащельники выполняют из алюминиевых или холодноогнутых стальных профилей. При необходимости для упрочнения соединений, к нащельникам могут применяться крепежные элементы (штукатурный шест, металлический крючок и т.п.). Для гарантии надёжности соединений используют заполнители и герметики из полимерных профилированных и плоских пористых прокладок или силиконовые, тиюколовые герметики.",['Data1_10_10846_index']
"Какой период просрочки исполнения обязательства, обеспеченного залогом, считается допустимым?"," В случае неисполнения или ненадлежащего исполнения должником обеспеченного залогом обязательства, период просрочки исполнения, согласно условиям, предусмотренным статьей 348 Кодекса о наложении взыскания на заложенное имущество, считается допустимым, если он составляет менее чем три месяца.",['Гражданский кодекс Российской Федерации']
"Что происходит с затонувшим имуществом, если владелец отказывается от своих прав?"," Если владелец затонувшего имущества не поднимет его в срок, установленный в соответствии с пунктами 4 и 5 статьи 47.1 Кодекса о порядке ликвидации причин, вызвавших бедствия на внутренних водных путях, и такое имущество создает серьезную и непосредственную угрозу безопасности судоходства или непосредственную угрозу причинения значительного ущерба окружающей среде загрязнением либо значительно препятствует осуществлению рыболовства, деятельности на внутреннем водном транспорте и проводимым на внутренних водных путях путевым работам, то администрация бассейна внутренних водных путей может поднять, удалить либо утилизировать затонувшее имущество. Подъем, удаление либо утилизация осуществляется за счет владельца затонувшего имущества с учетом требований статьи 121 Кодекса (Сборник законов РФ).

После истечения срока, предусмотренного статьей 50 настоящего Кодекса, администрация бассейна внутренних водных путей имеет право продать поднятое затонувшее имущество или его часть в порядке, установленном законодательством Российской Федерации, и получить за счет суммы, вырученной от его продажи, возмещение расходов на его подъем и других понесенных в связи с этим расходов.

Если после момента подъема затонувшего имущества прошел не более чем один год и собственник имущества хочет истребовать его, он может этого сделать после возмещения им расходов на подъем затонувшего имущества и других понесенных в связи с этим расходов (статья 50).

При этом, если собственник отказывается от своих прав на затонувшее имущество, то оно может быть обращено в государственную, муниципальную или частную собственность в порядке, установленном законодательством Российской Федерации (статья 52).","['Кодекс внутреннего водного транспорта Российской Федерации', 'Кодекс торгового мореплавания Российской Федерации']"
Что такое земли сельскохозяйственного назначения?," Земли сельскохозяйственного назначения - это земли, которые находятся за пределами населенных пунктов и предназначены для нужд сельского хозяйства. В состав земель сельскохозяйственного назначения входят сельскохозяйственные угодья, земли, занятые внутрихозяйственными дорогами, коммуникациями, мелиоративными защитными лесными насаждениями, водными объектами (в том числе прудами, образованными водоподпорными сооружениями на водотоках и используемыми в целях осуществления прудовой аквакультуры), объектами капитального строительства, некапитальными строениями, сооружениями, используемыми для производства, хранения и первичной переработки сельскохозяйственной продукции, в случаях, предусмотренных федеральными законами, нестационарными торговыми объектами, а также жилыми домами, строительство, реконструкция и эксплуатация которых допускается на земельных участках, используемых крестьянскими (фермерскими) хозяйствами для осуществления своей деятельности, либо на земельных участках, предназначенных для ведения гражданами садоводства для собственных нужд.","['Гражданский кодекс Российской Федерации', 'Земельный кодекс Российской Федерации']"
Какой способ выполнения работ по капитальному ремонту рекомендует ГОСТ МДС 14-13.2000?," По ГОСТу МДС 14-13.2000 для работ по капитальному ремонту предпочтительным является подрядный способ выполнения работ. Однако, в исключительных случаях хозяйственный способ производства работ по капитальному ремонту может быть применяться.",['Data1_1_1879_index']
Какие законы Российской Федерации устанавливают состав земель поселений?," В соответствии с предоставленным контекстом, законы Российской Федерации, которые устанавливают состав земель населенных пунктов, являются частью земельного законодательства. Они регламентируют разделение земель на категории и определяют земельные участки как составные части поселений.

В указанном контексте нет прямых ссылок на конкретные законы, но следует понимать, что основной правовой акт в данной области - Кодекс Российской Федерации об определении порядка государственной регистрации прав на недвижимое имущество (Земельный кодекс), применяемый совместно с федеральными законами, законами субъектов Российской Федерации и актами органов местного самоуправления.

Таким образом, состав земель поселений регламентируется, в первую очередь, Кодексом Российской Федерации об определении порядка государственной регистрации прав на недвижимое имущество и федеральными законами, применяемыми совместно с ним.",['Земельный кодекс Российской Федерации']
"Какие правила применяются к правам на исполнение, созданное в пределах установленных для работника (исполнителя) трудовых обязанностей?"," Правила применяются из статьи 1295 Кодекса РФ ""Об авторском праве и смежных правах"". В случае, если произведение науки, литературы или искусства было создано в пределах установленных для работника (исполнителя) трудовых обязанностей, то авторские права на это произведение принадлежат автору. Если работодатель не начал использовать это произведение в течение трех лет после его предоставления или передал исключительное право другому лицу без сообщения автору о сохранении произведения в тайне, то автор получает право на вознаграждение. Право на вознаграждение неотчуждаемо и не переходит по наследству, но права автора по договору, заключенному им с работодателем, и не полученные автором доходы переходят к наследникам. В случае использования произведения соответствующими условиями простой (неисключительной) лицензии с выплатой правообладателю вознаграждения, работодатель имеет такое право без оговора и согласия автора.","['Трудовой кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Какие коэффициенты применяются при демонтаже сборных деревянных конструкций?," При демонтаже сборных деревянных конструкций могут применяться следующие коэффициенты:
1. Коэффициент дополнительного труда (Кдт) - применяется, когда требуется распиловка и укладка отдельных деталей в транспортные средства перед их вывозом с места демонтажа;
2. Коэффициент снятия нагрузок (Ксн) - применяется, когда требуется снятие нагрузки конструкции перед её демонтажом (например, установка опор под конструкцию или обеспечение её стабильности во время работ);
3. Коэффициент сбора и обработки отходов (Ксо) - применяется, когда требуется сбор и обработка отходов демонтажа (например, распиловка древесины или удаление металлических элементов);
4. Коэффициент монтажных работ (Кмр) - применяется, когда требуется возвращение демонтированной конструкции в исходное положение после ремонтных или реставрационных работ.

Коэффициенты вычисляются отдельно для каждого вида работ и могут быть разными в зависимости от сложности демонтажа конструкции, требований безопасности и условий работ.

Для каждой конкретной операции необходимо провести подробный расчет и определить конкретные коэффициенты в соответствии с действующими нормами и инструкциями.","['Data1_10_10754_index', 'Data1_2_2081_index', 'Data1_1_1879_index', 'Data1_10_10062_index', 'Data1_2_2076_index']"
Какие технические характеристики и допуски для метода створных наблюдений приведены в СНиП 3.01.03-84?," В СНиП 3.01.03-84 (Геодезия. Методы измерения деформаций оснований зданий и сооружений) установлены следующие технические характеристики и допуски для метода створных наблюдений:

1. Деформационные марки должны быть расположены по всему периметру здания (сооружения), внутри его, включая углы, а также на стыках строительных блоков, по обе стороны осадочного или температурного шва, в местах примыкания продольных и поперечных стен, на поперечных стенах в местах пересечения их с продольной осью, на несущих колоннах.
2. Конкретное расположение деформационных марок на зданиях и сооружениях должно определяться организацией, выполняющей измерения, по согласованию с проектной, строительной или эксплуатирующей организациями.
3. При использовании метода створных наблюдений необходимо обеспечить устойчивость концевых опорных знаков створа.
4. Выполнение работ по измерению деформаций с помощью метода створных наблюдений следует проводить по технологическим данным, приведенным в проекте или установленным требованиям СНиП 3.01.03-84.
5. Для определения отклонения деформационной марки от створа в линейных величинах используется способ подвижной визирной марки, измерение малых (параллактических) углов при неподвижной визирной цели или способ струны.
6. При использовании в качестве визирной линии луча лазера роль подвижной визирной цели должен осуществлять приемник света с отсчетным приспособлением.
7. Измерение угла отклонения марки от створа следует проводить точным или высокоточным теодолитом, снабженным окулярным или оптическим микрометром.
8. При использовании метода створных наблюдений допускается принимать условную систему координат. В этом случае оси координат X и Y должны совпадать с поперечной и продольной осями здания или сооружения.","['Data1_2_2073_index', 'Data1_11_11285_index', 'Data1_10_10865_index', 'Data1_10_10846_index', 'Data1_11_11295_index']"
"Что означает, что решение суда первой инстанции может быть изменено или отменено, если нарушение привело или могло привести к принятию неправильного решения?"," Если нарушение процессуальных или материальных норм правового регулирования приводит или может привести к вынесению неправомерного решения судом первой инстанции, то это может служить основанием для изменения или отмены этого решения в ходе апелляционного или кассационного рассмотрения дела. Это означает, что при наличии доказательств нарушения правовой нормы, которое могло повлиять на исход дела, суд выше по ведущему инстанциям имеет полномочия изменить или отменить решение нижестоящего суда.","['Кодекс административного судопроизводства Российской Федерации', 'Арбитражный процессуальный кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации']"
Могут ли органы государственной власти субъектов РФ устанавливать более высокие размеры районных коэффициентов?," Да, органами государственной власти субъектов Российской Федерации могут устанавливаться более высокие размеры районных коэффициентов. Это допускается статьей 316 ГК РФ, согласно которой Правительство России может установить размер районного коэффициента и порядок его применения для расчета заработной платы работников организаций, расположенных в районах Крайнего Севера и приравненных к ним местностях. Кроме того, органы государственной власти субъектов РФ могут устанавливать более высокие размеры районного коэффициента для государственных органов субъектов Российской Федерации, государственных учреждений субъектов Российской Федерации, органов местного самоуправления и муниципальных учреждений (ст. 316 ГК РФ).","['Бюджетный кодекс Российской Федерации', 'Трудовой кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации']"
"Когда не признается реализацией товаров, работ или услуг?"," Реализация товаров, работ или услуг не признается в следующих случаях:
1) осуществление операций, связанных с обращением российской или иностранной валюты (за исключением целей нумизматики);
2) передача основных средств, нематериальных активов и иного имущества организации ее правопреемнику (правопреемникам) при реорганизации этой организации;
3) передача основных средств, нематериальных активов и иного имущества некоммерческим организациям на осуществление основной уставной деятельности, не связанной с предпринимательской деятельностью;
4) передача имущества, если такая передача носит инвестиционный характер (в частности, вклады в уставный (складочный) капитал хозяйственных обществ и товариществ, вклады по договору простого товарищества (договору о совместной деятельности), договору инвестиционного товарищества, паявые взносы в паявые фонды кооперативов);
4.1) передача имущества и (или) имущественных прав по концессионному соглашению, соглашению о государственно-частном партнерстве, соглашению о муниципально-частном партнерстве в соответствие с законодательством Российской Федерации;
5) передача имущества в пределах первоначального взноса участнику хозяйственного общества или товарищества (его правопреемнику или наследнику) при выходе (выбытии) из хозяйственного общества или товарищества, а также при распределении имущества ликвидируемого хозяйственного общества или товарищества между его участниками;
6) передача имущества в пределах первоначального взноса участнику договора простого товарищества (договору о совместной деятельности), договору инвестиционного товарищества или его правопреемнику в случае выделения его доли из имущества, находящегося в общей собственности участников договора, или раздела такого имущества;
7) передача жилых помещений физическим лицам в домах государственного или муниципального жилищного фонда при проведении приватизации;
8) изъятие имущества путем конфискации, наследование имущества, а также обращение в собственность иных лиц бесхозных и брошенных вещей, бесхозных животных, находки, клада в соответствии с нормами Гражданского кодекса Российской Федерации;
8.1) не применяется с 1 января 2017 г.;
8.2) передача имущества номинальным владельцем его фактическому владельцу, если такое имущество и его номинальный владелец указаны в специальной декларации, представленной в соответствии с Федеральным законом ""О добровольном декларировании физическими лицами активов и счетов (вкладов) в банках и о внесения изменений в отдельные законодательные акты Российской Федерации"";
9) иные операции в случаях, предусмотренных настоящим Кодексом.",['Налоговый кодекс Российской Федерации']
Какие требования предъявляются к точности разбивки длин сторон опорного контура и измерению углов и линий согласно СНиП 3.01.03-84?," Для корректной разбивки длин сторон опорного контура и точного измерения углов и линий согласно СНиП 3.01.03-84 требуются следующие требования:
- Точность разбивки сторон опорного контура зависит от подъемности оболочек, допустимых отклонениям в плане и по высоте монтажа сборных элементов и формы сооружения.
- Метод определения координат точек сети (микротриангуляция, микротрилатерация, полигонометрия, засечки, параллактический) зависит от требуемой точности разбивочных работ, размеров строительной площадки, условий работы на ней и формы сооружения.
- Коэффициент ψ влияет на точность разбивки сторон опорного контура, в основном, при больших значениях f/a . При пологих формах направляющих и образующих дуг оболочек (при пологих подъемах), коэффициент ψ можно не учитывать.
- Когда строительство ведется с использованием плит размером 3x3 м, средняя квадратическая погрешность разбивки сторон опорного контура будет равняться m_a = 5,7 мм и m_b = 5,2 мм. Если плиты будут крупнее, то погрешности уменьшатся в соответствии с размерами.
- Положения пунктов опорного контура вдоль продольной и поперечной осей сооружения определяются погрешностями m_pa = 2,6 мм и m_pb = 2,5 мм. Общее положение пункта опорного контура в плане будет зависить от этих двух значений.
- В случае использования полярных или прямоугольных координат для разбивки точек сети, средние квадратические погрешности выноса в натуру соответственно угла β и линии d должны быть меньше заданного значения (см. формулы 21-23).
- При геодезической съемке элементов конструкций подлежат: зазоры между элементами, длины опирания монтируемых элементов на ранее уложенные, несоосность стыкуемых элементов, несоответствия поверхностей элементов и невертикальности отвесно монтируемых элементов или их отклонения от проектных наклонов.",['Data1_11_11285_index']
Какие задачи ставит перед собой руководство проектной организации при формировании антимонопольных воздействий согласно ГОСТ МДС 80-2.2000?," Руководство проектной организации ставит перед собой следующие задачи при формировании антимонопольных воздействий:

1. Предотвращение, ограничение и пресечение действий подразделений или специалистов, которые могут иметь своим результатом существенное ограничение конкуренции и/или ущемление интересов других подразделений или работников.
2. Создание ситуации для формирования рынка рабочей силы, преодоления монополии отдельных подразделений и специалистов путем создания параллельных структур (дублирования подразделений и работников), формирования временных трудовых коллективов, привлечения работников и организаций со стороны.
3. Развитие равных условий для выполнения любого заказа в обеспечении материальными, финансовыми и другими ресурсами.
4. Поддержание однородности выпускаемой продукции (выполняемых работ, оказываемых услуг) подразделениями и специалистами проектного института.
5. Создание равных условий для доступа участников конкуренции к информации о спросе и предложении на проектную продукцию (услуги) института, ценах и сроках разработки и др.
6. Независимость конкурентов при принятии решений.
7. Предотвращение возможности соглашения между конкурентами по вопросам контроля над ценами, сроками разработки и др. (более подробно см. п. 2.3.2 настоящего руководства).","['Data1_10_10858_index', 'Data1_10_10872_index']"
